headline,link,description,image
"After another gold medal, the US men’s basketball program will now catch its breath",https://apnews.com/article/olympics-2024-us-basketball-7dcf700c83b51df13092462c6b81bae3,No description found,No image found
Diamondbacks’ Ketel Marte leaves game with left ankle contusion,https://apnews.com/article/ketel-marte-hurt-03e7c6e065fc624a24cb35e7888053b7,No description found,No image found
"Susan Wojcicki, former YouTube CEO and longtime Google executive, has died at 56",https://apnews.com/article/susan-wojcicki-youtube-former-ceo-google-obit-67271f8fe43bdd6ed04f35f484464489,No description found,https://dims.apnews.com/dims4/default/66ecfbf/2147483647/strip/true/crop/7140x4756+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Faf%2F52%2F29c4a57d5215b591f3296dd30be5%2Fb67ebebe396f4ff1a4794dd90e1cdcd1
Thousands protest lithium mining in Serbia. Officials say it’s a plot against populist president,https://apnews.com/article/serbia-lithium-protest-eu-russia-a731e86da3a1aaca0338eba2d629a5cc,No description found,No image found
Wall Street ends a wild and scary week almost exactly where it began. More tests loom next week,https://apnews.com/article/stocks-markets-china-inflation-rates-9b02c8c86f09d8b34f7406c3deb23ed9,No description found,No image found
Considering a mortgage refi? Lower rates are just one factor when refinancing a home loan,https://apnews.com/article/mortgage-rates-home-loan-refinancing-refis-5172aa4eb6d0508e4013b421f36f15b1,No description found,No image found
Mars and Jupiter get chummy in the night sky. The planets won’t get this close again until 2033,https://apnews.com/article/mars-jupiter-conjunction-planets-720b7f0cc67d4cb478f142eb846f3702,No description found,https://dims.apnews.com/dims4/default/7c0e687/2147483647/strip/true/crop/2132x1420+348+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbf%2Fa3%2F30387062c1c2b0bbe1eb5c6e209c%2F506ebe18260143f3942371608723dcb7
Could 2 NASA astronauts be stuck at the space station until next year? Here’s what to know,https://apnews.com/article/nasa-spacex-boeing-starliner-astronauts-922b43fa8d0e1f9622022a52f8c8e2ed,No description found,No image found
The Perseids are peaking this weekend. Here’s how to see the ‘fireballs’ of summer’s brightest meteor shower,https://apnews.com/article/perseids-fireballs-meteor-shower-82a9918fa1aafa3c23ef0db4cecfc54b,No description found,No image found
Forecasters still predict highly active Atlantic hurricane season in mid-season update,https://apnews.com/article/hurricane-forecast-update-5bb22598f8b475131799cbd1f8de1294,No description found,No image found
"With a new life and fresh ideas, Sandra Lee makes a TV comeback with a Netflix food competition show",https://apnews.com/article/sandra-lee-blue-ribbon-baking-d64401cc856cd9baa22a08ffb15e922b,No description found,https://dims.apnews.com/dims4/default/fde0eb0/2147483647/strip/true/crop/2493x1661+0+134/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fa6%2F47%2F91e126833b97483986d4f9894a44%2F7013939cde3c4b9b8750f224d56b2f9f
"Street art pops up throughout Paris, adding some Olympic color to major landmarks",https://apnews.com/article/olympics-2024-street-art-graffiti-a69a523a5ca6657eb65d11b4848ab864,No description found,No image found
Are you a Cash App user? You may be eligible for a piece of this $15 million settlement,https://apnews.com/article/cash-app-settlement-payment-data-breach-0b4b7eebd37c7b873a5f5cf98e1e9f3b,No description found,No image found
Paris Olympics embrace accessibility technology for visually impaired fans,https://apnews.com/article/olympics-2024-accessibility-technology-8b918cbb5c49c6dad2f0e095444f67f1,No description found,https://dims.apnews.com/dims4/default/8103ca5/2147483647/strip/true/crop/5616x3741+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F2d%2F44%2F20e82a3f8c74102ae440bb7d7917%2Ff9166ca6874a4c259550e38755cb61f9
Iran’s new president reappoints UN-sanctioned official as head of the country’s nuclear agency,https://apnews.com/article/iran-nuclear-sanctions-iaea-4aca115e5ca272da7999b6067818f19b,No description found,No image found
California partners with Nvidia to bring artificial intelligence resources to colleges,https://apnews.com/article/nvidia-artificial-intelligence-ai-california-0958f43b6aecbdb7617dfcb78bad7319,No description found,No image found
Olympians are turning to OnlyFans to fund dreams as they face a ‘broken’ finance system,https://apnews.com/article/paris-2024-olympics-funding-athletes-onlyfans-d85107c447fcddd252f0c6d32ff5690a,No description found,No image found
World Federation of Advertisers discontinues small brand safety initiative after Elon Musk’s X sues,https://apnews.com/article/x-twitter-advertiser-lawsuit-garm-discontinues-e64b99a501d9f69abbeebc1c479688d7,No description found,No image found
"Worker’s death at California federal prison investigated for possible fentanyl exposure, AP learns",https://apnews.com/article/federal-prison-worker-dies-california-fentanyl-investigation-c524f7db5c03c2298af5e488470ba639,No description found,https://dims.apnews.com/dims4/default/1e3e810/2147483647/strip/true/crop/4906x3268+0+166/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ff4%2Fa5%2Fbcbe2a520d7655f02956cf28356d%2F904804b08f464ba8b3677177e68a3011
Athletes across the Paris Games sustain bloody injuries during competition,https://apnews.com/article/olympics-photos-2024-e30dced559bde53fb58bb7427083a717,No description found,No image found
"FDA rejects psychedelic MDMA as treatment for PTSD, calling for additional study",https://apnews.com/article/mdma-psychedelic-drug-fda-ptsd-lykos-709b23613031fb11d3dc5228c8476a39,No description found,No image found
Noah Lyles decided to race with COVID-19. The USOPC’s CEO is ‘100% comfortable’ with that decision,https://apnews.com/article/2024-olympics-lyles-covid-d2a06c98cc108659e53474767731d6ac,No description found,No image found
Florida man gets over 3 years in prison for attacking a Muslim mail carrier and grabbing her hijab,https://apnews.com/article/muslim-mail-carrier-attack-8b35d73922e71ac0f07e2960e9e54111,No description found,No image found
Murder case dismissed against man charged in death of Detroit synagogue leader,https://apnews.com/article/detroit-synagogue-leader-killed-11c2a82bff6994189ba50cf371301973,No description found,No image found
No drinking and only Christian music during Sunday Gospel Hour at Nashville’s most iconic honky tonk,https://apnews.com/article/nashville-honky-tonk-sunday-gospel-hour-a258ed17b79e9129de5f910639d15d18,No description found,No image found
"PETA protesters interrupt Pope Francis’ Vatican audience, call on him to denounce bullfighting",https://apnews.com/article/pope-francis-animal-rights-bullfighting-peta-protest-3915daaafd586174aa19b16b12a52aca,No description found,No image found
FACT FOCUS: A look at claims made by Trump at news conference,https://apnews.com/article/trump-news-conference-fact-check-misinformation-eb899c1fc734f5ecb42b8d0902e5c004,No description found,https://dims.apnews.com/dims4/default/7acfbb9/2147483647/strip/true/crop/6000x3997+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F35%2F96%2F768eaf8a366057ad48f03def7aac%2Ffad3f3d0d0ee42ffaec5473fd34fe447
FACT FOCUS: False claims follow Minnesota governor’s selection as Harris’ running mate,https://apnews.com/article/fact-check-misinformation-walz-2024-election-cdf9f77a9975bc960b7311a3f08e52e1,No description found,No image found
Russian disinformation slams Paris and amplifies Khelif debate to undermine the Olympics,https://apnews.com/article/olympics-2024-russia-disinformation-khelif-paris-cdabb2945ec9a80f72cb41a48a51d277,No description found,No image found
Donald Trump falsely suggests Kamala Harris misled voters about her race,https://apnews.com/article/trump-black-journalists-convention-nabj-1e96aa530e88013ed6f577feaf89ccb6,No description found,No image found
Congo sprinter Mulamba tests positive for steroid at Paris Olympics,https://apnews.com/article/2024-olympics-doping-mulamba-5d0d05cbd9a5a8f6d34adeeccb39b4a5,The International Testing Agency says sprinter Dominique Lasconi Mulamba has tested positive for an anabolic steroid at the Paris Olympics.,No image found
Li Wenwen wins to give China five weightlifting gold medals at the Paris Olympics,https://apnews.com/article/2024-olympics-weightlifting-b5c409e0cdd231e3dfa9908561e80fb6,Li Wenwen won the women’s +81 kilogram division to give China five gold medals in weightlifting at the Paris Olympics.,No image found
Summer tourists flock to boardwalks and piers while sticking to their budgets,https://apnews.com/article/small-business-summer-tourism-c1d060271300e46c2c7efb77ea973d4e,"Small businesses along popular vacation destinations like boardwalks and piers in the U.S. say the number of tourists flocking to the waterfront is back to normal, meaning pre-2020 levels.",No image found
This Date in Baseball - Nolan Ryan sets an American League record by striking out 19,https://apnews.com/sports/baseball-boston-red-sox-milwaukee-brewers-detroit-tigers-cincinnati-reds-4f5caff0b92914bf35c7755b20721a7d,"This Date in Baseball, August 12 - Nolan Ryan sets an American League record by striking out 19",No image found
"Today in Sports - Tiger Woods misses the cut at the PGA Championship, 1st time ever for a major",https://apnews.com/sports/pga-championship-golf-tiger-woods-athlete-injuries-6fd031b96e90dba44cd278da7702f749,"Today in Sports, August 12 - Tiger Woods misses the cut at the PGA Championship, 1st time ever for a major",No image found
Hansen ends international career with another gold as Denmark wins men’s handball at Paris Olympics,https://apnews.com/article/2024-olympics-handball-men-3067e32593ce970723577f3d5fc79e5b,Mikkel Hansen’s international career ends with another Olympic gold medal as Denmark routed Germany 39-26 to win the men’s handball title at the Paris Games.,No image found
US women’s wrestling wins two Olympic golds and closes gap on Japan in fight for supremacy,https://apnews.com/article/2024-olympics-wrestling-us-japan-41453ef31c2b0bb0cd312be4d4d6a1ee,The United States is closing the gap on Japan in women’s wrestling. The Japanese won four of the six gold medals for the third straight Olympics and claimed two bronze medals as well.,No image found
Italy beats defending champion US for gold in women’s volleyball at Paris Olympics,https://apnews.com/article/olympics-2024-volleyball-italy-802c266a90a9567cb706927f6a667e1d,"Italy beat the defending champion U.S. team to win gold in women’s volleyball at the Paris Olympics. The victory came in straight sets, 25-18, 25-20, 25-17.",No image found
"Asked about seeking IOC presidency, track head Seb Coe says ‘of course I’m going to consider this’",https://apnews.com/article/olympics-seb-coe-bach-ioc-president-79fd44d1568ad1d4c8b8319fbd99aead,"Olympic running champion and insider Sebastian Coe said “of course I’m going to consider this,” when asked Sunday if he would put his name forward to replace Thomas Bach as president of the International Olympic Committee.",No image found
Lauren Jackson ends Olympic career with a fifth medal as Australia wins bronze in women’s basketball,https://apnews.com/article/2024-olympics-paris-australia-lauren-jackson-15633a8d286828dcb318885d7076829c,"Lauren Jackson ended her illustrious international career with a fifth Olympic medal. The 43-year-old Australian star has now won three silver medals and two bronze after the Opals beat Belgium, moving her into a tie for second for the most decorated Olympic women’s basketball player ever.",No image found
USWNT finds joy at the Paris Olympics under new coach Emma Hayes,https://apnews.com/article/2024-olympics-uswnt-canada-marta-spain-907f76f30bdc505af638ad65f3f62a3a,Women’s soccer was eventful at the Paris Olympics. The tournament started with Canada’s drone-spying scandal. Women’s World Cup winners Spain went home empty handed.,No image found
"After winning medals at track, it was time for athletes to eat, drink and party on an Olympic level",https://apnews.com/article/2024-olympics-track-field-013281f6a53ff5697f516efb9b32cdff,"They won their Olympic medals after so many hours dedicated to training. Then came the fun part — celebrating with family and friends, even strangers.",No image found
"Ezi Magbegor scores 30 as Australia wins Olympic women’s basketball bronze, beating Belgium 85-81",https://apnews.com/article/2024-olympics-womens-basketball-bronze-australia-1bbaccde8c68742d878703e1e8ad40b4,Ezi Magbegor scored 30 points and grabbed 13 rebounds as Australia won the Olympic women’s basketball bronze medal by beating Belgium 85-81.,No image found
Jennifer Valente defends Olympic omnium gold to wrap up best Summer Games for US cycling in 40 years,https://apnews.com/article/2024-olympics-paris-track-cycling-76d6433712210693635a5d0e52d62500,"Jennifer Valente made a dominant defense of her Olympic omnium title, earning her second gold medal of the week and wrapping up the most successful Summer Games for the U.S. cycling team in 40 years.",No image found
Serbia beats Croatia 13-11 for its third consecutive gold medal in men’s water polo at the Olympics,https://apnews.com/article/2024-olympics-water-polo-65a418d1fc5eb25e5ef8c199bb7d3e25,Milos Cuk scored three times and Serbia beat Croatia 13-11 for its third consecutive gold medal in men’s water polo at the Olympics.,No image found
Air taxis failed to get certified for the Paris Olympics. There’s still hope for LA 2028,https://apnews.com/article/olympics-2024-paris-flying-taxis-82af3b21726dc6ebbc99da076b98d14b,A flying autonomous taxi has held a test flight over the former royal palace of Versailles to mark the last day of the Paris Olympics.,No image found
"Dawn Staley enjoys different Olympic view. In Paris, she’s a fan",https://apnews.com/article/2024-olympics-dawn-staley-078ee2be789c77bf34ec15356c608a9c,"Dawn Staley is trying something new at the Paris Olympics: She’s a fan. Yes, Staley has been to six previous Olympics — three as a player, two as an assistant and then one as the head coach.",No image found
World Boxing to announce major increase in membership after Paris in its bid to save Olympic boxing,https://apnews.com/article/2024-olympics-boxing-future-c65a0d40814f54e79d31af213a4bbf4c,World Boxing expects to expand its membership base to more than 50 national federations in the weeks after the conclusion of the tumultuous Paris Olympics.,No image found
High-A Northwest League Glance,https://apnews.com/sports/eugene-everett-8ae0b5f3c4cfd862a9c8ffce48d6c65f,All Times EDTNorthwest LeagueWLPct.GBx-Spokane (Colorado)2714.659—Vancouver (Toronto)2516.6102Hillsboro (Arizona)2021.4887Eugene (San Francisco)1724.41510Everett (Seattle)1724.41510Tri-City (L.A. Angels)1724.41510,No image found
Single-A California League Glance,https://apnews.com/sports/fresno-stockton-modesto-faa71ac76b354f858da63fe1a3ef7a04,All Times EDTNorth DivisionWLPct.GBSan Jose (San Francisco)2318.561—x-Modesto (Seattle)1823.4395Fresno (Colorado)1724.4156Stockton (Oakland)1328.31710,No image found
Irish kicker Charlie Smyth boots winning field goal for Saints in first attempt in a football game,https://apnews.com/article/saints-charlie-smyth-irish-gaelic-football-a536b34fe22efb042b615a77e796f38b,"Charlie Smyth stepped up in a crucial moment for the New Orleans, sized up a winning 37-yard field goal with eight seconds remaining, and booted it through the uprights like he does it every day.",No image found
Triple-A Pacific Coast League Glance,https://apnews.com/sports/el-paso-bdcd2ef7830b73643dbc622ab374e60c,All Times EDTWLPct.GBx-Sugar Land (Houston)2314.622—Salt Lake (L.A. Angels)2216.5791½Las Vegas (Oakland)2116.5682Tacoma (Seattle)2117.5532½Reno (Arizona)2017.5413Round Rock (Texas)1819.4865Albuquerque (Colorado)1721.4476½Sacramento (San Francisco)1622.4217½El Paso (San Diego)1523.3958½Oklahom,No image found
"Logan Gilbert dominant on mound as Mariners shut out Mets for 2nd straight day, 4-0",https://apnews.com/article/mets-mariners-score-94848ba0f096df87dfd336d596ca2bd7,Logan Gilbert threw seven scoreless innings and combined with two relievers on Seattle’s major league-best 13th shutout of the season as the Mariners beat the New York Mets 4-0.,No image found
"Gavin Lux knocks in 3 as Dodgers get past Paul Skenes and Pirates, 4-1",https://apnews.com/article/dodgers-pirates-score-07a17b3de025942b03f3293c91f0e0a2,"Gavin Lux continued his resurgence with three RBIs, Teoscar Hernandez hit a home run and the Los Angeles Dodgers got past standout rookie Paul Skenes and the Pittsburgh Pirates 4-1 on Saturday night.",No image found
Double-A Texas League Glance,https://apnews.com/sports/arkansas-259b653b197bd28a5868535eb4e38d6d,All Times EDTNorth DivisionWLPct.GBSpringfield (St. Louis2315.605—Arkansas (Seattle)2216.5791NW Arkansas (Kansas City)1918.5143½Tulsa (L.A. Dodgers)1720.4595,No image found
Triple-A International League Glance,https://apnews.com/sports/world-bank-syracuse-scranton-worcester-42725c158ef62e42044532b72b3f4882,All Times EDTWLPct.GBColumbus (Cleveland)2512.676—Lehigh Valley (Philadelphia)2115.5833½Nashville (Milwaukee)2116.5684Rochester (Washington)2117.5534½Scranton/WB (N.Y. Yankees)2017.5415x-,No image found
Frontier League Glance,https://apnews.com/sports/frontier-league-glance-50f9a965dd7275c8cc44ef8b97a71d0b,All Times EDTEast DivisionWLPct.GBQuebec5225.675—Tri-City4133.5549½New York4133.5549½Ottawa4234.5539½Trois-Rivieres3738.49314New England2748.36024Sussex County2749.35524½New Jersey2550.33326,No image found
Single-A Carolina League Glance,https://apnews.com/sports/lynchburg-columbia-myrtle-beach-kannapolis-fredericksburg-88e903f3f6549425478f5ca58b1cdb47,All Times EDTNorth DivisionWLPct.GBFredericksburg (Washington)2615.634—Down East (Texas)2116.5683Salem (Boston)2318.5613x-Carolina (Milwaukee)2218.5503½Lynchburg (Cleveland)1821.4627Delmarva (Baltimore)1724.4159,No image found
"Matt Olson homers twice, drives in 6 as Braves snap 6-game losing streak with 11-8 win over Rockies",https://apnews.com/article/braves-rockies-score-904da77b832209be5aeda2b4bc2dcb49,"Matt Olson had two homers and a career-high six RBIs, Marcell Ozuna and Jorge Soler homered, and the Atlanta Braves broke a six-game losing streak with an 11-8 victory over the Colorado Rockies on Saturday night.",No image found
Single-A Florida State League Glance,https://apnews.com/sports/lakeland-bradenton-50056d37216830748a07577a450fa8a1,All Times EDTEast DivisionWLPct.GBx-Palm Beach (St. Louis)2811.718—Daytona (Cincinnati)2216.5795½Jupiter (Miami)2019.5138St. Lucie (N.Y. Mets)1227.30816,No image found
